YEAR,TOTAL,WHITE,%W,BLACK,%B,ASIAN / PACIFIC ISLANDER,%AS,AMERICAN INDIAN/ALASKAN NATIVE,%AM,WHITE HISPANIC,%WH,BLACK HISPANIC,%BH,BORO
2000,1773003,193651,10.92220374,475007,26.79109962,41503,2.340830783,418137,23.58354724,204352,11.52575602,440353,24.8365626,BRONX
2001,1784826,189406.8,10.61205966,478026.3,26.78279563,42442.4,2.377957291,420574.7,23.56390483,207445.6,11.62273521,446930.2,25.04054737,BRONX
2002,1796649,185162.6,10.30599744,481045.6,26.77460094,43381.8,2.414595171,423012.4,23.54452094,210539.2,11.71843805,453507.4,25.24184746,BRONX
2003,1808472,180918.4,10.00393703,484064.9,26.76651339,44321.2,2.450754007,425450.1,23.5253905,213632.8,11.81288956,460084.6,25.44051553,BRONX
2004,1820295,176674.2,9.705800433,487084.2,26.7585309,45260.6,2.486443131,427887.8,23.50650856,216726.4,11.90611412,466661.8,25.63660286,BRONX
2005,1832118,172430,9.411511704,490103.5,26.75065143,46200,2.521671639,430325.5,23.48787032,219820,11.99813549,473239,25.83015941,BRONX
2006,1843941,168185.8,9.120996821,493122.8,26.74287301,47139.4,2.55644839,432763.2,23.46947109,222913.6,12.08897682,479816.2,26.02123387,BRONX
2007,1855764,163941.6,8.834183657,496142.1,26.7351937,48078.8,2.590782018,435200.9,23.45130631,226007.2,12.17866065,486393.4,26.20987367,BRONX
2008,1867587,159697.4,8.551001908,499161.4,26.72761162,49018.2,2.624680939,437638.6,23.43337151,229100.8,12.26720897,492970.6,26.39612505,BRONX
2009,1879410,155453.2,8.27138304,502180.7,26.72012493,49957.6,2.658153357,440076.3,23.41566236,232194.4,12.35464321,499547.8,26.5800331,BRONX
2010,1891233,151209,7.995260235,505200,26.71273185,50897,2.691207271,442514,23.39817463,235288,12.44098427,506125,26.76164174,BRONX
2011,1903056,146964.8,7.722568332,508219.3,26.70543063,51836.4,2.72385048,444951.7,23.38090419,238381.6,12.52625251,512702.2,26.94099385,BRONX
2012,1914879,142720.6,7.453243782,511238.6,26.69821957,52775.8,2.756090594,447389.4,23.36384701,241475.2,12.61046782,519279.4,27.11813122,BRONX
2013,1926702,138476.4,7.187224594,514257.9,26.69109701,53715.2,2.787935031,449827.1,23.34699917,244568.8,12.69364956,525856.6,27.29309462,BRONX
2014,1938525,134232.2,6.924450291,517277.2,26.68406134,54654.6,2.819391032,452264.8,23.33035684,247662.4,12.77581666,532433.8,27.46592383,BRONX
2015,1950348,129988,6.664861861,520296.5,26.67711096,55594,2.85046566,454702.5,23.31391629,250756,12.85698757,539011,27.63665766,BRONX
2016,1962171,125743.8,6.408401714,523315.8,26.67024434,56533.4,2.881165811,457140.2,23.29767385,253849.6,12.9371803,545588.2,27.80533399,BRONX
2017,1973994,121499.6,6.155013642,526335.1,26.66345997,57472.8,2.911498211,459577.9,23.28162598,256943.2,13.01641241,552165.4,27.97198978,BRONX
2018,1985817,117255.4,5.904642774,529354.4,26.65675639,58412.2,2.94146943,462015.6,23.2657692,260036.8,13.09470107,558742.6,28.13666113,BRONX
2019,1997640,113011.2,5.657235538,532373.7,26.65013216,59351.6,2.971085881,464453.3,23.25010012,263130.4,13.17206303,565319.8,28.29938327,BRONX
2020,2009463,108767,5.412739622,535393,26.64358587,60291,3.000353826,466891,23.23461542,266224,13.24851465,571897,28.46019061,BRONX
2021,2021286,104522.8,5.171103941,538412.3,26.63711617,61230.4,3.02927938,469328.7,23.21931186,269317.6,13.3240719,578474.2,28.61911674,BRONX
2022,2033109,100278.6,4.932278594,541431.6,26.63072172,62169.8,3.057868516,471766.4,23.2041863,272411.2,13.39875039,585051.4,28.77619449,BRONX
2000,2792008,854532,30.60635929,898350,32.1757674,187283,6.707824619,363965,13.03595835,161196,5.773479159,326682,11.70061117,BROOKLYN
2001,2795032.2,858409.4,30.71196818,894523.3,32.00404274,194906.6,6.973322168,358474.2,12.82540502,162949.9,5.829982925,325768.8,11.65527896,BROOKLYN
2002,2798056.4,862286.8,30.81734879,890696.6,31.83268929,202530.2,7.238245805,352983.4,12.61530683,164703.8,5.886364549,324855.6,11.61004474,BROOKLYN
2003,2801080.6,866164.2,30.92250184,886869.9,31.66170584,210153.8,7.50259739,347492.6,12.4056623,166457.7,5.942624429,323942.4,11.5649082,BROOKLYN
2004,2804104.8,870041.6,31.02742808,883043.2,31.4910912,217777.4,7.766378774,342001.8,12.19646998,168211.6,5.998762956,323029.2,11.51986901,BROOKLYN
2005,2807129,873919,31.13212823,879216.5,31.32084418,225401,8.0295918,336511,11.98772839,169965.5,6.054780525,322116,11.47492687,BROOKLYN
2006,2810153.2,877796.4,31.23660304,875389.8,31.15096358,233024.6,8.292238302,331020.2,11.77943608,171719.4,6.110677525,321202.8,11.43008146,BROOKLYN
2007,2813177.4,881673.8,31.34085323,871563.1,30.98144824,240648.2,8.554320108,325529.4,11.57159161,173473.3,6.166454344,320289.6,11.38533247,BROOKLYN
2008,2816201.6,885551.2,31.44487951,867736.4,30.81229696,248271.8,8.815839037,320038.6,11.36419353,175227.2,6.222111372,319376.4,11.34067959,BROOKLYN
